Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Region,State,City,Category,Sub-Category,Product Name,Quantity,Discount,Sales,Profit
ORD-01496,2025-02-11,2025-02-16,Standard Class,CUST-0111,Corporate,East,West Bengal,Kolkata,Furniture,Bookcases,Glass Bookcase,9,0.4,6216.54,-93.77
ORD-01818,2024-02-26,2024-02-29,Standard Class,CUST-0243,Home Office,Central,Chhattisgarh,Raipur,Furniture,Bookcases,Metal Bookcase,6,0.0,962.54,161.93
ORD-01245,2024-12-04,2024-12-10,Same Day,CUST-0028,Home Office,Central,Madhya Pradesh,Bhopal,Office Supplies,Storage,Plastic Drawer,3,0.0,299.51,55.3
ORD-00242,2024-02-22,2024-02-26,Second Class,CUST-0229,Home Office,Central,Chhattisgarh,Raipur,Office Supplies,Labels,Shipping Labels,5,0.3,403.86,99.55
ORD-00877,2023-07-03,2023-07-08,Standard Class,CUST-0371,Consumer,South,Andhra Pradesh,Vijayawada,Office Supplies,Labels,Address Labels,6,0.2,585.4,140.29
ORD-01375,2024-03-30,2024-04-06,Same Day,CUST-0129,Consumer,East,Jharkhand,Ranchi,Technology,Accessories,Power Bank,9,0.1,1901.35,460.05
ORD-00695,2025-03-09,2025-03-15,Standard Class,CUST-0167,Home Office,West,Gujarat,Surat,Technology,Copiers,Desktop Copier,2,0.4,1176.7,-148.6
ORD-00285,2023-02-14,2023-02-15,Standard Class,CUST-0321,Corporate,South,Kerala,Trivandrum,Office Supplies,Art,Color Pencils,3,0.15,298.61,93.61
ORD-00413,2023-11-18,2023-11-24,Same Day,CUST-0175,Corporate,East,Jharkhand,Ranchi,Technology,Phones,Smartphone X200,6,0.4,5416.67,-960.73
ORD-01305,2023-04-04,2023-04-09,First Class,CUST-0383,Consumer,East,Bihar,Patna,Furniture,Furnishings,Table Lamp,3,0.5,298.56,0.86
ORD-01412,2023-09-15,2023-09-22,Standard Class,CUST-0328,Corporate,Central,Chhattisgarh,Raipur,Office Supplies,Binders,3-Ring Binder,1,0.0,72.73,15.95
ORD-01982,2024-12-01,2024-12-08,Same Day,CUST-0074,Corporate,South,Andhra Pradesh,Visakhapatnam,Office Supplies,Storage,Storage Box,2,,23.79,2.59
ORD-01842,2024-06-08,2024-06-10,First Class,CUST-0381,Home Office,North,Uttar Pradesh,Noida,Technology,Machines,Calculator,10,0.15,3344.95,446.87
ORD-01443,2023-07-25,2023-07-26,Second Class,CUST-0342,Corporate,South,Karnataka,Mysore,Technology,Phones,Cordless Phone,3,0.15,1661.2,233.0
ORD-00340,2024-10-29,2024-10-31,First Class,CUST-0070,Corporate,North,Punjab,Amritsar,Furniture,Furnishings,Wall Clock,2,0.0,932.42,3.77
ORD-00364,2025-11-17,2025-11-22,Standard Class,CUST-0047,Consumer,North,Uttar Pradesh,Lucknow,Office Supplies,Binders,3-Ring Binder,5,0.1,554.89,49.94
ORD-00904,2023-05-30,2023-06-06,Second Class,CUST-0398,Corporate,South,Tamil Nadu,Madurai,Office Supplies,Art,Marker Set,3,0.2,344.18,80.93
ORD-01012,2025-04-26,2025-05-03,Same Day,CUST-0114,Home Office,North,Punjab,Amritsar,Furniture,Bookcases,Glass Bookcase,2,0.0,509.68,7.37
ORD-01679,2024-11-12,2024-11-13,Same Day,CUST-0210,Consumer,South,Andhra Pradesh,Vijayawada,Technology,Machines,Label Maker,1,0.15,639.63,82.17
ORD-00736,2024-01-22,2024-01-28,Second Class,CUST-0260,Consumer,Central,Chhattisgarh,Raipur,Technology,Accessories,Keyboard,2,0.0,1479.35,372.6
ORD-00387,2024-10-31,2024-11-04,Second Class,CUST-0305,Home Office,North,Delhi,New Delhi,Technology,Copiers,Desktop Copier,1,0.0,410.78,76.17
ORD-01509,2025-10-21,2025-10-24,Second Class,CUST-0259,Corporate,South,Kerala,Trivandrum,Office Supplies,Storage,Storage Box,1,0.0,92.83,25.43
ORD-01150,2024-09-17,2024-09-21,Standard Class,CUST-0305,Corporate,Central,Chhattisgarh,Raipur,Technology,Copiers,Desktop Copier,1,0.0,509.26,107.77
ORD-00838,2024-04-03,2024-04-09,Second Class,CUST-0159,Home Office,East,West Bengal,Howrah,Office Supplies,Paper,Notebook,8,0.15,435.63,115.18
ORD-01664,2024-03-26,2024-03-29,Standard Class,CUST-0055,Home Office,East,Bihar,Patna,Technology,Accessories,USB Cable,6,0.2,2920.28,738.89
ORD-00639,2024-10-20,2024-10-26,Standard Class,CUST-0054,Corporate,Central,Chhattisgarh,Raipur,Office Supplies,Paper,Notebook,8,0.2,378.91,58.69
ORD-01171,2023-12-26,2023-12-28,First Class,CUST-0115,Home Office,South,Andhra Pradesh,Vijayawada,Office Supplies,Binders,3-Ring Binder,1,0.2,40.75,9.4
ORD-01638,2023-09-06,2023-09-10,First Class,CUST-0340,Home Office,South,Kerala,Kochi,Office Supplies,Labels,Address Labels,6,0.5,316.23,26.68
ORD-01446,2024-02-14,2024-02-16,Same Day,CUST-0015,Home Office,West,Rajasthan,Udaipur,Furniture,Tables,Round Meeting Table,6,0.0,4565.84,640.42
ORD-01280,2025-03-08,2025-03-11,First Class,CUST-0359,Corporate,East,Odisha,Bhubaneswar,Office Supplies,Storage,File Cabinet,7,0.2,193.07,30.5
ORD-00300,2024-04-21,2024-04-27,Second Class,CUST-0006,Home Office,East,Odisha,Bhubaneswar,Furniture,Chairs,Ergonomic Chair,2,0.3,1246.2,-8.09
ORD-00977,2025-11-24,2025-12-01,Same Day,CUST-0357,Home Office,North,Punjab,Amritsar,Technology,Accessories,Power Bank,7,0.5,4515.68,359.23
ORD-01859,2023-02-20,2023-02-21,Second Class,CUST-0352,Home Office,North,Haryana,Faridabad,Technology,Accessories,USB Cable,2,0.0,498.39,71.99
ORD-00109,2024-04-20,2024-04-25,Standard Class,CUST-0172,Corporate,North,Punjab,Amritsar,Furniture,Chairs,Ergonomic Chair,8,0.15,1778.41,247.53
ORD-01472,2023-12-31,2024-01-06,Standard Class,CUST-0201,Home Office,West,Maharashtra,Pune,Technology,Machines,Calculator,7,0.0,4432.29,488.54
ORD-01583,2025-09-25,2025-09-28,Same Day,CUST-0318,Consumer,East,West Bengal,Kolkata,Furniture,Tables,Computer Desk,1,0.2,138.61,20.35
ORD-00518,2023-07-18,2023-07-24,Standard Class,CUST-0022,Home Office,North,Punjab,Amritsar,Office Supplies,Storage,Plastic Drawer,10,0.1,571.14,32.08
ORD-01017,2023-02-09,2023-02-11,First Class,CUST-0358,Consumer,East,Bihar,Patna,Technology,Copiers,Desktop Copier,3,0.2,2466.51,562.28
ORD-01016,2023-03-11,2023-03-16,Same Day,CUST-0049,Home Office,East,Bihar,Patna,Furniture,Furnishings,Cushion,1,0.0,626.19,117.57
ORD-01184,2025-12-18,2025-12-24,Same Day,CUST-0080,Consumer,West,Maharashtra,Pune,Furniture,Furnishings,Table Lamp,4,0.0,1854.87,163.47
ORD-01230,2024-03-24,2024-03-28,Standard Class,CUST-0085,Corporate,East,Bihar,Patna,Furniture,Furnishings,Wall Clock,4,0.1,1165.19,64.37
ORD-01973,2023-01-10,2023-01-11,Standard Class,CUST-0171,Corporate,Central,Chhattisgarh,Raipur,Technology,Machines,Calculator,2,0.2,753.27,-103.38
ORD-01532,2025-06-11,2025-06-14,Standard Class,CUST-0203,Consumer,North,Uttar Pradesh,Noida,Technology,Copiers,Desktop Copier,1,0.2,1079.8,-124.81
ORD-01606,2023-10-02,2023-10-09,Same Day,CUST-0257,Corporate,North,Haryana,Faridabad,Furniture,Bookcases,Wooden Bookcase,1,0.0,796.68,22.44
ORD-01466,2025-05-13,2025-05-15,Second Class,CUST-0002,Consumer,West,Rajasthan,Udaipur,Furniture,Bookcases,Metal Bookcase,6,0.5,1985.06,150.07
ORD-01498,2023-05-28,2023-06-03,Same Day,CUST-0155,Corporate,South,Karnataka,Bangalore,Office Supplies,Art,Color Pencils,7,0.0,759.78,88.1
ORD-01331,2023-11-07,2023-11-11,Same Day,CUST-0040,Consumer,East,West Bengal,Howrah,Technology,Accessories,USB Cable,9,0.0,5132.55,339.75
ORD-00331,2024-02-20,2024-02-22,Standard Class,CUST-0099,Consumer,Central,Madhya Pradesh,Indore,Technology,Accessories,Keyboard,7,0.0,3242.05,-78.5
ORD-01432,2024-12-22,2024-12-29,Second Class,CUST-0135,Corporate,West,Rajasthan,Jaipur,Technology,Copiers,Desktop Copier,2,0.0,1085.62,-89.63
ORD-00230,2025-06-12,2025-06-15,Second Class,CUST-0135,Home Office,East,Odisha,Bhubaneswar,Office Supplies,Art,Sketch Pad,6,0.0,453.67,139.56
ORD-00173,2024-10-15,2024-10-20,Standard Class,CUST-0392,Consumer,South,Tamil Nadu,Coimbatore,Furniture,Furnishings,Cushion,10,0.1,8726.86,-29.39
ORD-00451,2025-09-16,2025-09-22,Second Class,CUST-0192,Corporate,West,Goa,Panaji,Technology,Copiers,Desktop Copier,4,0.3,3795.22,-34.79
ORD-01525,2024-02-01,2024-02-06,First Class,CUST-0267,Home Office,West,Maharashtra,Pune,Office Supplies,Labels,Shipping Labels,8,0.0,132.38,7.28
ORD-00128,2025-07-29,2025-08-03,Same Day,CUST-0331,Corporate,South,Karnataka,Mysore,Technology,Phones,Phone Case,1,0.0,685.61,-45.88
ORD-01065,2025-10-01,2025-10-05,First Class,CUST-0122,Home Office,South,Tamil Nadu,Madurai,Furniture,Tables,Coffee Table,7,0.5,3769.08,-61.47
ORD-00038,2024-01-15,2024-01-17,First Class,CUST-0358,Consumer,South,Andhra Pradesh,Visakhapatnam,Technology,Machines,Laminator,4,0.5,1351.87,-240.89
ORD-00427,2025-04-29,2025-04-30,Standard Class,CUST-0315,Corporate,Central,Chhattisgarh,Raipur,Office Supplies,Binders,3-Ring Binder,2,0.0,92.75,31.13
ORD-00205,2024-04-18,2024-04-22,Standard Class,CUST-0005,Consumer,East,Bihar,Patna,Furniture,Chairs,Mesh Office Chair,1,0.3,708.75,52.9
ORD-01250,2024-08-27,2024-09-03,Second Class,CUST-0283,Corporate,South,Kerala,Kochi,Technology,Machines,Laminator,7,0.0,7907.24,-4.29
ORD-00186,2023-05-18,2023-05-19,Standard Class,CUST-0055,Home Office,West,Goa,Panaji,Office Supplies,Labels,Shipping Labels,1,0.3,86.76,3.03
ORD-01269,2025-01-31,2025-02-07,Same Day,CUST-0145,Home Office,Central,Chhattisgarh,Raipur,Technology,Phones,Phone Case,8,0.0,4004.03,1154.48
ORD-00059,2023-10-05,2023-10-09,Second Class,CUST-0186,Consumer,West,Rajasthan,Udaipur,Technology,Accessories,Power Bank,2,0.15,2158.13,102.19
ORD-01507,2023-12-03,2023-12-09,Same Day,CUST-0090,Consumer,South,Karnataka,Bangalore,Technology,Accessories,Wireless Mouse,8,0.15,534.43,63.73
ORD-00863,2024-08-03,2024-08-06,Same Day,CUST-0139,Consumer,South,Andhra Pradesh,Vijayawada,Office Supplies,Labels,Address Labels,10,0.1,474.94,53.52
ORD-01877,2024-11-10,2024-11-13,First Class,CUST-0384,Home Office,South,Andhra Pradesh,Visakhapatnam,Furniture,Chairs,Mesh Office Chair,7,0.4,3670.29,187.21
ORD-01333,2024-03-28,2024-04-01,Second Class,CUST-0126,Corporate,West,Rajasthan,Jaipur,Furniture,Furnishings,Photo Frame,10,0.3,1266.51,-101.23
ORD-01165,2025-07-01,2025-07-02,Standard Class,CUST-0036,Corporate,North,Delhi,New Delhi,Furniture,Bookcases,Glass Bookcase,5,0.15,1673.04,-71.07
ORD-01316,2024-03-06,2024-03-10,Second Class,CUST-0208,Home Office,Central,Madhya Pradesh,Indore,Technology,Phones,Cordless Phone,8,0.5,2705.55,137.64
ORD-01415,2025-07-04,2025-07-08,Same Day,CUST-0269,Consumer,North,Uttar Pradesh,Lucknow,Technology,Copiers,Desktop Copier,7,0.3,2881.45,-119.87
ORD-00612,2025-08-05,2025-08-06,Same Day,CUST-0093,Corporate,West,Maharashtra,Pune,Furniture,Bookcases,Metal Bookcase,9,0.15,2222.93,320.68
ORD-00035,2025-09-17,2025-09-21,Same Day,CUST-0109,Corporate,West,Rajasthan,Udaipur,Furniture,Chairs,Folding Chair,8,0.3,2038.17,-52.79
ORD-00831,2023-12-06,2023-12-12,First Class,CUST-0324,Home Office,West,Maharashtra,Mumbai,Technology,Copiers,All-in-One Printer,10,0.15,5627.48,1297.31
ORD-01827,2025-10-19,2025-10-21,First Class,CUST-0345,Home Office,South,Andhra Pradesh,Vijayawada,Technology,Copiers,All-in-One Printer,7,0.5,6233.26,1066.88
ORD-00361,2024-07-30,2024-08-02,Standard Class,CUST-0214,Corporate,West,Goa,Panaji,Furniture,Chairs,Mesh Office Chair,3,0.5,1256.57,4.22
ORD-01050,2025-06-05,2025-06-10,Second Class,CUST-0114,Corporate,West,Rajasthan,Udaipur,Technology,Copiers,Desktop Copier,2,0.0,476.28,17.42
ORD-01649,2023-08-27,2023-08-31,Same Day,CUST-0240,Consumer,South,Andhra Pradesh,Visakhapatnam,Technology,Phones,Smartphone X200,3,0.0,399.99,65.26
ORD-01900,2023-07-25,2023-07-29,Standard Class,CUST-0009,Corporate,Central,Chhattisgarh,Raipur,Furniture,Bookcases,Metal Bookcase,1,0.15,389.43,-5.26
ORD-00596,2025-02-25,2025-03-04,Same Day,CUST-0069,Home Office,West,Maharashtra,Mumbai,Technology,Machines,Laminator,1,0.0,927.85,166.54
ORD-01279,2024-10-20,2024-10-23,Standard Class,CUST-0368,Home Office,East,Odisha,Bhubaneswar,Office Supplies,Storage,Plastic Drawer,9,0.2,387.64,14.41
ORD-00591,2025-04-08,2025-04-12,Same Day,CUST-0246,Corporate,South,Karnataka,Mysore,Technology,Copiers,Desktop Copier,7,0.1,1445.86,142.67
ORD-00654,2023-12-31,2024-01-03,Same Day,CUST-0324,Home Office,South,Kerala,Trivandrum,Furniture,Tables,Conference Table,4,0.15,860.39,-48.95
ORD-00916,2024-12-16,2024-12-19,Second Class,CUST-0038,Home Office,South,Tamil Nadu,Coimbatore,Technology,Machines,Laminator,6,0.15,977.74,-98.61
ORD-00770,2024-03-20,2024-03-21,Same Day,CUST-0222,Corporate,North,Uttar Pradesh,Noida,Furniture,Bookcases,Metal Bookcase,4,0.5,332.45,-26.79
ORD-00453,2023-02-20,2023-02-22,Standard Class,CUST-0185,Consumer,West,Gujarat,Surat,Technology,Phones,Cordless Phone,2,0.0,1357.3,-82.3
ORD-01817,2024-09-05,2024-09-11,First Class,CUST-0335,Corporate,East,Jharkhand,Ranchi,Technology,Phones,Cordless Phone,7,0.5,6369.84,-811.0
ORD-00588,2025-11-14,2025-11-17,Standard Class,CUST-0171,Home Office,South,Kerala,Kochi,Office Supplies,Paper,Sticky Notes,1,0.0,115.63,15.15
ORD-00008,2025-11-05,2025-11-10,Standard Class,CUST-0044,Home Office,South,Karnataka,Mysore,Furniture,Chairs,Folding Chair,8,0.15,733.22,-14.76
ORD-01767,2025-01-21,2025-01-25,Same Day,CUST-0293,Home Office,North,Punjab,Amritsar,Technology,Copiers,Desktop Copier,5,0.2,3437.15,-324.92
ORD-00706,2024-05-24,2024-05-26,Second Class,CUST-0090,Home Office,Central,Madhya Pradesh,Bhopal,Technology,Accessories,Wireless Mouse,8,0.15,7431.71,-497.98
ORD-01319,2025-07-20,2025-07-25,Same Day,CUST-0024,Consumer,South,Karnataka,Mysore,Furniture,Tables,Coffee Table,9,0.5,4417.8,69.31
ORD-01354,2025-06-24,2025-06-28,First Class,CUST-0006,Consumer,South,Kerala,Trivandrum,Furniture,Tables,Coffee Table,5,0.1,1757.97,139.69
ORD-00021,2024-02-13,2024-02-20,First Class,CUST-0015,Consumer,West,Rajasthan,Udaipur,Furniture,Tables,Round Meeting Table,4,0.15,1553.75,12.1
ORD-01154,2023-05-21,2023-05-25,Second Class,CUST-0185,Consumer,North,Uttar Pradesh,Noida,Office Supplies,Paper,Sticky Notes,1,0.15,24.81,6.35
ORD-01191,2023-07-05,2023-07-06,First Class,CUST-0165,Home Office,North,Haryana,Gurgaon,Furniture,Bookcases,Metal Bookcase,7,0.3,1865.47,193.79
ORD-01076,2024-12-29,2024-12-30,Same Day,CUST-0002,Home Office,South,Tamil Nadu,Chennai,Technology,Copiers,All-in-One Printer,7,0.1,4984.82,752.79
ORD-00207,2023-08-20,2023-08-22,Second Class,CUST-0248,Corporate,North,Punjab,Ludhiana,Office Supplies,Labels,Shipping Labels,10,0.2,294.06,79.04
ORD-00817,2024-02-29,2024-03-02,Standard Class,CUST-0232,Home Office,East,Bihar,Patna,Office Supplies,Paper,Notebook,5,0.0,300.1,65.72
ORD-00416,2025-11-30,2025-12-03,Same Day,CUST-0358,Corporate,West,Goa,Panaji,Technology,Machines,Label Maker,1,0.0,751.96,-13.5
ORD-01626,2024-07-16,2024-07-23,Same Day,CUST-0140,Corporate,North,Uttar Pradesh,Noida,Furniture,Bookcases,Glass Bookcase,9,0.0,4105.73,64.33
ORD-00928,2024-10-11,2024-10-12,Same Day,CUST-0288,Consumer,North,Haryana,Gurgaon,Technology,Phones,Cordless Phone,2,0.5,977.72,35.88
ORD-00721,2023-01-27,2023-01-28,Standard Class,CUST-0309,Consumer,West,Gujarat,Surat,Furniture,Furnishings,Cushion,2,0.3,1633.97,68.07
ORD-01632,2024-10-03,2024-10-08,Standard Class,CUST-0088,Consumer,East,Odisha,Bhubaneswar,Furniture,Furnishings,Table Lamp,2,0.3,1535.89,150.57
ORD-00732,2025-07-14,2025-07-17,Standard Class,CUST-0315,Consumer,Central,Chhattisgarh,Raipur,Furniture,Furnishings,Wall Clock,9,0.0,7953.72,1018.3
ORD-00218,2024-04-04,2024-04-10,Second Class,CUST-0318,Corporate,Central,Chhattisgarh,Raipur,Technology,Machines,Calculator,1,0.2,1081.19,170.25
ORD-00420,2023-10-28,2023-11-03,First Class,CUST-0300,Corporate,West,Goa,Panaji,Furniture,Chairs,Ergonomic Chair,3,0.5,1199.85,-59.17
ORD-01252,2025-05-20,2025-05-23,Standard Class,CUST-0181,Home Office,Central,Madhya Pradesh,Indore,Office Supplies,Storage,Plastic Drawer,1,0.15,125.76,36.43
ORD-00987,2024-12-01,2024-12-03,Second Class,CUST-0258,Corporate,West,Rajasthan,Udaipur,Technology,Phones,Cordless Phone,9,0.15,2098.25,-165.41
ORD-01636,2023-11-08,2023-11-10,Second Class,CUST-0141,Home Office,Central,Chhattisgarh,Raipur,Office Supplies,Paper,Notebook,3,0.4,265.41,12.8
ORD-00922,2023-03-20,2023-03-21,First Class,CUST-0096,Home Office,North,Punjab,Amritsar,Technology,Accessories,Keyboard,6,0.4,3443.21,-133.57
ORD-00971,2023-02-22,2023-02-25,First Class,CUST-0278,Home Office,West,Rajasthan,Jaipur,Furniture,Furnishings,Table Lamp,3,0.2,1522.47,83.73
ORD-01313,2025-10-22,2025-10-24,Second Class,CUST-0113,Home Office,East,Odisha,Bhubaneswar,Office Supplies,Storage,Plastic Drawer,5,0.3,384.79,23.35
ORD-01718,2023-01-21,2023-01-24,Same Day,CUST-0354,Corporate,East,Bihar,Patna,Office Supplies,Paper,A4 Copy Paper,3,0.0,286.27,66.04
ORD-01565,2023-06-19,2023-06-20,Second Class,CUST-0377,Consumer,West,Rajasthan,Udaipur,Furniture,Bookcases,Wooden Bookcase,8,0.1,2602.93,319.83
ORD-01847,2024-08-12,2024-08-18,First Class,CUST-0122,Home Office,West,Gujarat,Surat,Office Supplies,Art,Color Pencils,8,0.0,720.82,191.02
ORD-00798,2024-09-26,2024-10-01,Same Day,CUST-0275,Home Office,West,Gujarat,Surat,Furniture,Chairs,Mesh Office Chair,10,0.4,6929.36,-781.11
ORD-01261,2025-08-28,2025-09-03,First Class,CUST-0004,Corporate,East,Odisha,Bhubaneswar,Office Supplies,Labels,Shipping Labels,7,0.4,500.79,99.83
ORD-01795,2025-04-27,2025-05-04,First Class,CUST-0041,Corporate,South,Andhra Pradesh,Visakhapatnam,Office Supplies,Art,Sketch Pad,10,0.2,979.64,21.73
ORD-00529,2024-08-30,2024-08-31,Standard Class,CUST-0252,Consumer,Central,Chhattisgarh,Raipur,Furniture,Tables,Round Meeting Table,4,0.1,1669.37,267.8
